chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
1441 scaffold_12 595392 595393 - No_gene NA NA 2 NA 762 0.813898258833222 scaffold_12_595392_595393_-
1442 scaffold_12 601491 601496 - No_gene NA NA 6 NA 1768 -0.437194645351894 scaffold_12_601491_601496_-
1449 scaffold_12 742774 742780 - No_gene NA NA 7 NA 3464 -0.462104849288108 scaffold_12_742774_742780_-
1453 scaffold_12 765086 765110 - No_gene NA NA 25 NA 1539 -1.657472763889 scaffold_12_765086_765110_-
1455 scaffold_12 782692 782698 - No_gene NA NA 7 NA 2329 -0.692543230070235 scaffold_12_782692_782698_-
1457 scaffold_12 850435 850436 - No_gene NA NA 2 NA 505 -0.201873636372322 scaffold_12_850435_850436_-
1458 scaffold_12 851462 851463 - No_gene NA NA 2 NA 287 0.550698463309904 scaffold_12_851462_851463_-
1462 scaffold_12 982177 982181 - No_gene NA NA 5 NA 1332 0.091392435998241 scaffold_12_982177_982181_-
1463 scaffold_12 984420 984421 - No_gene NA NA 2 NA 1439 -1.97691267876672 scaffold_12_984420_984421_-
1466 scaffold_12 1012868 1012909 - No_gene NA NA 42 NA 25120 -2.03916395962717 scaffold_12_1012868_1012909_-
1476 scaffold_12 1209787 1209806 - No_gene NA NA 20 NA 3073 -2.41828620333939 scaffold_12_1209787_1209806_-
1477 scaffold_12 1209836 1209843 - No_gene NA NA 8 NA 1837 -1.42686207400566 scaffold_12_1209836_1209843_-
1478 scaffold_12 1239301 1239302 - No_gene NA NA 2 NA 300 -0.376483427695898 scaffold_12_1239301_1239302_-
1484 scaffold_12 1387159 1387160 - No_gene NA NA 2 NA 706 -0.637266816157382 scaffold_12_1387159_1387160_-
1485 scaffold_12 1402345 1402349 - No_gene NA NA 5 NA 4201 0.595745568368572 scaffold_12_1402345_1402349_-
1493 scaffold_12 1743155 1743156 - No_gene NA NA 2 NA 409 1.40281827478021 scaffold_12_1743155_1743156_-
1494 scaffold_12 1749989 1749990 - No_gene NA NA 2 NA 695 -1.02005973456268 scaffold_12_1749989_1749990_-
1503 scaffold_120 305212 305217 + No_gene NA NA 6 NA 13667 -0.0327708825808055 scaffold_120_305212_305217_+
1504 scaffold_120 309679 309697 + No_gene NA NA 19 NA 2645 -2.0976330904993 scaffold_120_309679_309697_+
1505 scaffold_120 309717 309718 + No_gene NA NA 2 NA 3570 -1.99510352171401 scaffold_120_309717_309718_+
1527 scaffold_121 47225 47244 + No_gene NA NA 20 NA 3691 -1.88085757359497 scaffold_121_47225_47244_+
1566 scaffold_121 123876 123881 - No_gene NA NA 6 NA 742 0.408367433047542 scaffold_121_123876_123881_-
1574 scaffold_121 164656 164657 - No_gene NA NA 2 NA 632 -0.334413840902043 scaffold_121_164656_164657_-
1575 scaffold_121 203497 203503 - No_gene NA NA 7 NA 1944 0.340712535552057 scaffold_121_203497_203503_-
1576 scaffold_121 224858 224862 - No_gene NA NA 5 NA 2192 -0.0730454070633431 scaffold_121_224858_224862_-
1579 scaffold_121 281738 281748 - No_gene NA NA 11 NA 3678 -1.41367866912079 scaffold_121_281738_281748_-
1580 scaffold_121 282819 282820 - No_gene NA NA 2 NA 500 0.0826321264708139 scaffold_121_282819_282820_-
1584 scaffold_121 339619 339625 - No_gene NA NA 7 NA 1002 -0.383552231016515 scaffold_121_339619_339625_-
1587 scaffold_121 361132 361151 - No_gene NA NA 20 NA 2418 -1.37063388959225 scaffold_121_361132_361151_-
1590 scaffold_121 373255 373259 - No_gene NA NA 5 NA 365 -0.182381407857916 scaffold_121_373255_373259_-
1595 scaffold_123 108745 108754 + No_gene NA NA 10 NA 17311 0.595475689514149 scaffold_123_108745_108754_+
1596 scaffold_123 109103 109104 + No_gene NA NA 2 NA 259 0.700443056384014 scaffold_123_109103_109104_+
1600 scaffold_123 204712 204716 + No_gene NA NA 5 NA 403 -0.082490572810257 scaffold_123_204712_204716_+
1604 scaffold_123 51359 51378 - No_gene NA NA 20 NA 471 -0.793006983331067 scaffold_123_51359_51378_-
1605 scaffold_123 52028 52032 - No_gene NA NA 5 NA 9784 0.798547720929808 scaffold_123_52028_52032_-
1613 scaffold_123 165922 165923 - No_gene NA NA 2 NA 695 0.943297260689449 scaffold_123_165922_165923_-
1615 scaffold_125 92643 92644 - No_gene NA NA 2 NA 444 0.479333796845834 scaffold_125_92643_92644_-
1621 scaffold_126 145516 145517 - No_gene NA NA 2 NA 505 0.741342091322982 scaffold_126_145516_145517_-
1622 scaffold_12610 695 699 - No_gene NA NA 5 NA 810 0.0947142176190023 scaffold_12610_695_699_-
1627 scaffold_128 214042 214043 + No_gene NA NA 2 NA 1168 0.437007900218214 scaffold_128_214042_214043_+
1628 scaffold_128 219104 219115 + No_gene NA NA 12 NA 4543 -0.482545589379093 scaffold_128_219104_219115_+
1630 scaffold_129 52464 52508 + No_gene NA NA 45 NA 236512 0.24292691323408 scaffold_129_52464_52508_+
1631 scaffold_129 52528 52539 + No_gene NA NA 12 NA 237671 0.200864355173016 scaffold_129_52528_52539_+
1632 scaffold_129 52962 52965 + No_gene NA NA 4 NA 1039 -1.76269964119275 scaffold_129_52962_52965_+
1633 scaffold_129 53192 53201 + No_gene NA NA 10 NA 1707 -0.0169781047432838 scaffold_129_53192_53201_+
1634 scaffold_129 56094 56122 + No_gene NA NA 29 NA 2153 -1.80235589568518 scaffold_129_56094_56122_+
1637 scaffold_129 244716 244721 + No_gene NA NA 6 NA 1789 0.117302915599627 scaffold_129_244716_244721_+
1640 scaffold_129 257526 257588 - No_gene NA NA 63 NA 5853 -3.10096594889549 scaffold_129_257526_257588_-
1644 scaffold_129 278108 278109 - No_gene NA NA 2 NA 538 0.291721597253836 scaffold_129_278108_278109_-
1657 scaffold_13 281796 281800 + No_gene NA NA 5 NA 1948 0.00514701826501995 scaffold_13_281796_281800_+
1662 scaffold_13 327434 327440 + No_gene NA NA 7 NA 4632 -0.267621615940669 scaffold_13_327434_327440_+
1675 scaffold_13 578662 578663 + No_gene NA NA 2 NA 4516 1.30045664870814 scaffold_13_578662_578663_+
1676 scaffold_13 586676 586680 + No_gene NA NA 5 NA 774 -1.26970060321463 scaffold_13_586676_586680_+
1678 scaffold_13 628298 628299 + No_gene NA NA 2 NA 1316 0.441537946943679 scaffold_13_628298_628299_+
1684 scaffold_13 677399 677409 + No_gene NA NA 11 NA 2077 -0.434153282478254 scaffold_13_677399_677409_+
1696 scaffold_13 869104 869109 + No_gene NA NA 6 NA 3762 -0.511508025300826 scaffold_13_869104_869109_+
1697 scaffold_13 880542 880558 + No_gene NA NA 17 NA 3814 -0.182926731923903 scaffold_13_880542_880558_+
1702 scaffold_13 960730 960731 + No_gene NA NA 2 NA 426 0.358988331188543 scaffold_13_960730_960731_+
1709 scaffold_13 1212264 1212265 + No_gene NA NA 2 NA 516 0.782100649510692 scaffold_13_1212264_1212265_+
1712 scaffold_13 1375582 1375589 + No_gene NA NA 8 NA 38138 0.26209490287019 scaffold_13_1375582_1375589_+
1713 scaffold_13 1376037 1376054 + No_gene NA NA 18 NA 3473 0.677938052345106 scaffold_13_1376037_1376054_+
1714 scaffold_13 1376323 1376324 + No_gene NA NA 2 NA 752 -1.60876160722118 scaffold_13_1376323_1376324_+
1715 scaffold_13 1376473 1376476 + No_gene NA NA 4 NA 883 -0.949064401600977 scaffold_13_1376473_1376476_+
1717 scaffold_13 1392354 1392362 + No_gene NA NA 9 NA 3212 -0.418864039492931 scaffold_13_1392354_1392362_+
1718 scaffold_13 1397444 1397456 + No_gene NA NA 13 NA 19667 0.186931821412524 scaffold_13_1397444_1397456_+
1726 scaffold_13 1616800 1616801 + No_gene NA NA 2 NA 679 0.67358107253809 scaffold_13_1616800_1616801_+
1727 scaffold_13 1624501 1624502 + No_gene NA NA 2 NA 1438 0.986603866245199 scaffold_13_1624501_1624502_+
1728 scaffold_13 1624556 1624557 + No_gene NA NA 2 NA 755 1.170781272302 scaffold_13_1624556_1624557_+
1734 scaffold_13 1848275 1848276 + No_gene NA NA 2 NA 526 1.04066513822012 scaffold_13_1848275_1848276_+
1748 scaffold_13 429152 429158 - No_gene NA NA 7 NA 5999 -0.521724492405168 scaffold_13_429152_429158_-
1749 scaffold_13 429181 429182 - No_gene NA NA 2 NA 505 -0.0537955420917258 scaffold_13_429181_429182_-
1754 scaffold_13 515012 515015 - No_gene NA NA 4 NA 4223 0.931931136371956 scaffold_13_515012_515015_-
1755 scaffold_13 568951 568956 - No_gene NA NA 6 NA 4999 0.127526300844045 scaffold_13_568951_568956_-
1778 scaffold_13 719269 719281 - No_gene NA NA 13 NA 725 -1.18755404372866 scaffold_13_719269_719281_-
1784 scaffold_13 854553 854554 - No_gene NA NA 2 NA 476 0.437684120594147 scaffold_13_854553_854554_-
1792 scaffold_13 1059639 1059655 - No_gene NA NA 17 NA 2110 -2.59018190382945 scaffold_13_1059639_1059655_-
1793 scaffold_13 1059692 1059744 - No_gene NA NA 53 NA 6566 -2.92012373256728 scaffold_13_1059692_1059744_-
1795 scaffold_13 1086090 1086105 - No_gene NA NA 16 NA 2360 -2.56745401605144 scaffold_13_1086090_1086105_-
1796 scaffold_13 1086130 1086131 - No_gene NA NA 2 NA 1113 -1.25898608234027 scaffold_13_1086130_1086131_-
1798 scaffold_13 1145629 1145633 - No_gene NA NA 5 NA 6746 0.474954906749669 scaffold_13_1145629_1145633_-
1804 scaffold_13 1203561 1203564 - No_gene NA NA 4 NA 1231 0.0787172552703053 scaffold_13_1203561_1203564_-
1810 scaffold_13 1328830 1328831 - No_gene NA NA 2 NA 556 0.357535118219132 scaffold_13_1328830_1328831_-
1811 scaffold_13 1342820 1342821 - No_gene NA NA 2 NA 1418 0.427266868617258 scaffold_13_1342820_1342821_-
1813 scaffold_13 1426900 1426911 - No_gene NA NA 12 NA 16145 0.208680119298471 scaffold_13_1426900_1426911_-
1817 scaffold_13 1462776 1462781 - No_gene NA NA 6 NA 978 0.435665284587039 scaffold_13_1462776_1462781_-
1822 scaffold_13 1512101 1512102 - No_gene NA NA 2 NA 421 0.673560103537511 scaffold_13_1512101_1512102_-
1825 scaffold_13 1574692 1574693 - No_gene NA NA 2 NA 617 1.15734563222427 scaffold_13_1574692_1574693_-
1828 scaffold_13 1597936 1597937 - No_gene NA NA 2 NA 854 -0.0907799338834301 scaffold_13_1597936_1597937_-
1829 scaffold_13 1599007 1599012 - No_gene NA NA 6 NA 3736 -0.134004760944874 scaffold_13_1599007_1599012_-
1830 scaffold_13 1600158 1600161 - No_gene NA NA 4 NA 10984 0.643731095723644 scaffold_13_1600158_1600161_-
1840 scaffold_13 1818770 1818791 - No_gene NA NA 22 NA 1500 -2.29622077112202 scaffold_13_1818770_1818791_-
1843 scaffold_13 1844437 1844451 - No_gene NA NA 15 NA 2608 -1.91386217506422 scaffold_13_1844437_1844451_-
1844 scaffold_13 1844477 1844480 - No_gene NA NA 4 NA 764 -0.135282913340466 scaffold_13_1844477_1844480_-
1845 scaffold_13 1867063 1867067 - No_gene NA NA 5 NA 2397 0.412315294138543 scaffold_13_1867063_1867067_-
1848 scaffold_130 148326 148327 + No_gene NA NA 2 NA 424 0.135972013916516 scaffold_130_148326_148327_+
1849 scaffold_130 148375 148379 + No_gene NA NA 5 NA 630 -1.00034367722114 scaffold_130_148375_148379_+
1851 scaffold_130 290698 290699 + No_gene NA NA 2 NA 1281 0.938681632490847 scaffold_130_290698_290699_+
1854 scaffold_130 256356 256358 - No_gene NA NA 3 NA 5281 1.21566347695963 scaffold_130_256356_256358_-
1857 scaffold_131 121165 121210 + No_gene NA NA 46 NA 21540 -2.1688671102164 scaffold_131_121165_121210_+
1859 scaffold_131 162498 162502 + No_gene NA NA 5 NA 1291 0.0231147086963261 scaffold_131_162498_162502_+
1860 scaffold_131 173595 173599 + No_gene NA NA 5 NA 9575 0.558708876521012 scaffold_131_173595_173599_+
1866 scaffold_131 318725 318729 + No_gene NA NA 5 NA 1222 -0.411467814984878 scaffold_131_318725_318729_+
1868 scaffold_131 80360 80364 - No_gene NA NA 5 NA 1749 -1.34199857954672 scaffold_131_80360_80364_-
1869 scaffold_131 80536 80537 - No_gene NA NA 2 NA 748 -0.99194150842965 scaffold_131_80536_80537_-
1870 scaffold_131 80582 80583 - No_gene NA NA 2 NA 593 -0.772075807578423 scaffold_131_80582_80583_-
1871 scaffold_131 126867 126881 - No_gene NA NA 15 NA 5156 -0.770180508933276 scaffold_131_126867_126881_-
1872 scaffold_131 204244 204250 - No_gene NA NA 7 NA 9407 -0.0986016395022107 scaffold_131_204244_204250_-
1873 scaffold_131 250217 250219 - No_gene NA NA 3 NA 3965 1.34412301405514 scaffold_131_250217_250219_-
1874 scaffold_131 251224 251225 - No_gene NA NA 2 NA 1106 -0.853037528158202 scaffold_131_251224_251225_-
1882 scaffold_132 23783 23784 - No_gene NA NA 2 NA 5314 -1.24034914917918 scaffold_132_23783_23784_-
1883 scaffold_132 23804 23819 - No_gene NA NA 16 NA 1665 -2.17968391361602 scaffold_132_23804_23819_-
1885 scaffold_1321 3242 3287 + No_gene NA NA 46 NA 160452 0.152202263152012 scaffold_1321_3242_3287_+
1890 scaffold_1329 2812 2817 + No_gene NA NA 6 NA 3276 0.198406256986558 scaffold_1329_2812_2817_+
1899 scaffold_134 182872 182873 - No_gene NA NA 2 NA 168 0.691474239321992 scaffold_134_182872_182873_-
1903 scaffold_135 43232 43233 - No_gene NA NA 2 NA 444 -0.153837736035279 scaffold_135_43232_43233_-
1906 scaffold_135 85595 85596 - No_gene NA NA 2 NA 1189 -1.15542624665862 scaffold_135_85595_85596_-
1907 scaffold_135 108229 108230 - No_gene NA NA 2 NA 788 1.22109908094723 scaffold_135_108229_108230_-
1916 scaffold_136 231060 231061 - No_gene NA NA 2 NA 1735 1.46964439557489 scaffold_136_231060_231061_-
1926 scaffold_138 79254 79279 + No_gene NA NA 26 NA 7995 -1.3620307087614 scaffold_138_79254_79279_+
1928 scaffold_138 239183 239188 + No_gene NA NA 6 NA 871 -1.60092918549033 scaffold_138_239183_239188_+
1929 scaffold_138 240229 240233 + No_gene NA NA 5 NA 1567 -1.24430122671413 scaffold_138_240229_240233_+
1930 scaffold_138 240259 240260 + No_gene NA NA 2 NA 2452 -2.02219661472721 scaffold_138_240259_240260_+
1931 scaffold_138 240608 240631 + No_gene NA NA 24 NA 2175 -1.52505118768702 scaffold_138_240608_240631_+
1932 scaffold_138 240663 240664 + No_gene NA NA 2 NA 2297 -1.50661661384437 scaffold_138_240663_240664_+
1933 scaffold_138 240803 240804 + No_gene NA NA 2 NA 354 0.592272713192405 scaffold_138_240803_240804_+
1937 scaffold_138 291771 291775 + No_gene NA NA 5 NA 351 -1.1466791294501 scaffold_138_291771_291775_+
1944 scaffold_138 316269 316272 + No_gene NA NA 4 NA 912 0.4162160143059 scaffold_138_316269_316272_+
1946 scaffold_138 20366 20367 - No_gene NA NA 2 NA 557 -0.353673981454014 scaffold_138_20366_20367_-
1947 scaffold_138 21086 21149 - No_gene NA NA 64 NA 14632 -1.74737007486642 scaffold_138_21086_21149_-
1949 scaffold_138 167931 167934 - No_gene NA NA 4 NA 1909 0.705255480892351 scaffold_138_167931_167934_-
1950 scaffold_138 182155 182156 - No_gene NA NA 2 NA 335 1.5575297934858 scaffold_138_182155_182156_-
1951 scaffold_138 281206 281207 - No_gene NA NA 2 NA 787 0.100325083623247 scaffold_138_281206_281207_-
1954 scaffold_138 310826 310827 - No_gene NA NA 2 NA 485 0.182855190913168 scaffold_138_310826_310827_-
1955 scaffold_138 311024 311028 - No_gene NA NA 5 NA 7802 -0.746157049545496 scaffold_138_311024_311028_-
1962 scaffold_14 230130 230159 + No_gene NA NA 30 NA 3825 -1.95022174384355 scaffold_14_230130_230159_+
1963 scaffold_14 430595 430635 + No_gene NA NA 41 NA 11378 -0.743484600089503 scaffold_14_430595_430635_+
1964 scaffold_14 431625 431627 + No_gene NA NA 3 NA 318 0.698960495217012 scaffold_14_431625_431627_+
1965 scaffold_14 578614 578634 + No_gene NA NA 21 NA 1886 0.166300314767528 scaffold_14_578614_578634_+
1966 scaffold_14 592818 592828 + No_gene NA NA 11 NA 11729 0.0512938215970427 scaffold_14_592818_592828_+
1970 scaffold_14 856239 856240 + No_gene NA NA 2 NA 402 -0.366620048542001 scaffold_14_856239_856240_+
1977 scaffold_14 1208364 1208368 + No_gene NA NA 5 NA 2695 0.147664697523934 scaffold_14_1208364_1208368_+
1981 scaffold_14 1244583 1244584 + No_gene NA NA 2 NA 899 1.21338408451337 scaffold_14_1244583_1244584_+
2027 scaffold_14 1605837 1605838 + No_gene NA NA 2 NA 854 -1.5229985957797 scaffold_14_1605837_1605838_+
2028 scaffold_14 1605871 1605876 + No_gene NA NA 6 NA 10393 -0.731115076361368 scaffold_14_1605871_1605876_+
2031 scaffold_14 76220 76222 - No_gene NA NA 3 NA 7476 1.03011098121951 scaffold_14_76220_76222_-
2037 scaffold_14 252637 252639 - No_gene NA NA 3 NA 1492 -0.174979667595458 scaffold_14_252637_252639_-
2038 scaffold_14 387199 387200 - No_gene NA NA 2 NA 142 0.9868075802117 scaffold_14_387199_387200_-
2047 scaffold_14 904253 904254 - No_gene NA NA 2 NA 411 1.03271077345752 scaffold_14_904253_904254_-
2048 scaffold_14 905832 905834 - No_gene NA NA 3 NA 430 0.58713202293942 scaffold_14_905832_905834_-
2049 scaffold_14 906083 906097 - No_gene NA NA 15 NA 2964 -2.37124185468666 scaffold_14_906083_906097_-
2051 scaffold_14 985017 985018 - No_gene NA NA 2 NA 1847 0.50928224458434 scaffold_14_985017_985018_-
2056 scaffold_14 1197323 1197327 - No_gene NA NA 5 NA 6801 0.103310410922165 scaffold_14_1197323_1197327_-
2086 scaffold_14 1342570 1342571 - No_gene NA NA 2 NA 384 0.417730040301724 scaffold_14_1342570_1342571_-
2087 scaffold_14 1380558 1380591 - No_gene NA NA 34 NA 6442 -1.32405128641927 scaffold_14_1380558_1380591_-
2089 scaffold_14 1402361 1402380 - No_gene NA NA 20 NA 3893 -2.48334690675116 scaffold_14_1402361_1402380_-
2101 scaffold_14 1598457 1598458 - No_gene NA NA 2 NA 1869 -0.234793876227277 scaffold_14_1598457_1598458_-
2112 scaffold_141 50190 50213 - No_gene NA NA 24 NA 2475 -2.13897078162239 scaffold_141_50190_50213_-
2118 scaffold_142 95404 95410 + No_gene NA NA 7 NA 1353 -0.392995376018848 scaffold_142_95404_95410_+
2120 scaffold_142 155056 155061 + No_gene NA NA 6 NA 1939 -0.275162596377423 scaffold_142_155056_155061_+
2132 scaffold_142 174782 174785 - No_gene NA NA 4 NA 840 0.265692712538756 scaffold_142_174782_174785_-
2141 scaffold_142 249300 249312 - No_gene NA NA 13 NA 2841 -0.680972244766515 scaffold_142_249300_249312_-
2151 scaffold_143 202929 202972 + No_gene NA NA 44 NA 22844 -2.38423707046002 scaffold_143_202929_202972_+
2152 scaffold_143 204103 204104 + No_gene NA NA 2 NA 649 -0.968469466460489 scaffold_143_204103_204104_+
2163 scaffold_143 225679 225680 + No_gene NA NA 2 NA 1046 0.849906172469092 scaffold_143_225679_225680_+
2170 scaffold_143 196502 196509 - No_gene NA NA 8 NA 1682 -1.49809442873499 scaffold_143_196502_196509_-
2174 scaffold_143 259336 259337 - No_gene NA NA 2 NA 459 -0.101386932702348 scaffold_143_259336_259337_-
2175 scaffold_144 128223 128227 + No_gene NA NA 5 NA 1122 0.00357693607750442 scaffold_144_128223_128227_+
2181 scaffold_144 209429 209433 - No_gene NA NA 5 NA 1906 0.29664825845957 scaffold_144_209429_209433_-
2196 scaffold_145 144504 144506 - No_gene NA NA 3 NA 3815 -1.5958762446161 scaffold_145_144504_144506_-
2197 scaffold_145 144528 144532 - No_gene NA NA 5 NA 1857 -1.6052151443712 scaffold_145_144528_144532_-
2198 scaffold_145 144553 144554 - No_gene NA NA 2 NA 261 1.63604867557704 scaffold_145_144553_144554_-
2201 scaffold_145 171228 171236 - No_gene NA NA 9 NA 863 -0.77785424212717 scaffold_145_171228_171236_-
2208 scaffold_145 237877 237879 - No_gene NA NA 3 NA 4887 0.529930582656329 scaffold_145_237877_237879_-
2209 scaffold_145 241754 241756 - No_gene NA NA 3 NA 2283 0.240064086959938 scaffold_145_241754_241756_-
2210 scaffold_145 242521 242523 - No_gene NA NA 3 NA 951 -0.953290657640229 scaffold_145_242521_242523_-
2217 scaffold_146 61379 61380 + No_gene NA NA 2 NA 1375 0.256365297623803 scaffold_146_61379_61380_+
2221 scaffold_146 148024 148028 + No_gene NA NA 5 NA 6427 0.131120676732546 scaffold_146_148024_148028_+
2227 scaffold_146 180997 180998 - No_gene NA NA 2 NA 745 -0.279151891027209 scaffold_146_180997_180998_-
2228 scaffold_146 181045 181049 - No_gene NA NA 5 NA 3709 0.105262115132135 scaffold_146_181045_181049_-
2230 scaffold_147 69788 69797 + No_gene NA NA 10 NA 858 -1.55200299337613 scaffold_147_69788_69797_+
2233 scaffold_147 23558 23562 - No_gene NA NA 5 NA 2238 0.268771121595242 scaffold_147_23558_23562_-
2234 scaffold_147 281542 281543 - No_gene NA NA 2 NA 1515 1.34301798052902 scaffold_147_281542_281543_-
2248 scaffold_15 213293 213316 + No_gene NA NA 24 NA 2697 -0.877335831851417 scaffold_15_213293_213316_+
2249 scaffold_15 213607 213608 + No_gene NA NA 2 NA 541 0.639598714699564 scaffold_15_213607_213608_+
2254 scaffold_15 234041 234069 + No_gene NA NA 29 NA 2366 -1.97402157636099 scaffold_15_234041_234069_+
2255 scaffold_15 234095 234099 + No_gene NA NA 5 NA 2963 -2.26490819227832 scaffold_15_234095_234099_+
2273 scaffold_15 376655 376660 + No_gene NA NA 6 NA 1297 -2.01898144696796 scaffold_15_376655_376660_+
2276 scaffold_15 407547 407548 + No_gene NA NA 2 NA 1903 0.572738884053761 scaffold_15_407547_407548_+
2277 scaffold_15 458966 458976 + No_gene NA NA 11 NA 1951 -0.722309868241176 scaffold_15_458966_458976_+
2278 scaffold_15 459081 459088 + No_gene NA NA 8 NA 3579 -0.356499068566618 scaffold_15_459081_459088_+
2284 scaffold_15 669853 669869 + No_gene NA NA 17 NA 3381 -1.7440951371839 scaffold_15_669853_669869_+
2288 scaffold_15 749256 749261 + No_gene NA NA 6 NA 877 0.147003959095958 scaffold_15_749256_749261_+
2289 scaffold_15 749371 749375 + No_gene NA NA 5 NA 891 -0.954378562602467 scaffold_15_749371_749375_+
2290 scaffold_15 810584 810590 + No_gene NA NA 7 NA 15904 0.332106361738035 scaffold_15_810584_810590_+
2297 scaffold_15 829775 829779 + No_gene NA NA 5 NA 4534 -0.183387210829326 scaffold_15_829775_829779_+
2298 scaffold_15 831910 831911 + No_gene NA NA 2 NA 655 -0.955234759848805 scaffold_15_831910_831911_+
2299 scaffold_15 853119 853123 + No_gene NA NA 5 NA 5415 0.450648477303542 scaffold_15_853119_853123_+
2310 scaffold_15 992772 992777 + No_gene NA NA 6 NA 718 0.154157634257467 scaffold_15_992772_992777_+
2314 scaffold_15 1056654 1056658 + No_gene NA NA 5 NA 9403 -0.345688587697365 scaffold_15_1056654_1056658_+
2315 scaffold_15 1056773 1056790 + No_gene NA NA 18 NA 1639 -0.184300852883746 scaffold_15_1056773_1056790_+
2324 scaffold_15 1200569 1200570 + No_gene NA NA 2 NA 365 0.317880438573053 scaffold_15_1200569_1200570_+
2325 scaffold_15 1252630 1252631 + No_gene NA NA 2 NA 687 0.396661917810186 scaffold_15_1252630_1252631_+
2327 scaffold_15 1285012 1285021 + No_gene NA NA 10 NA 6119 -0.521057069605857 scaffold_15_1285012_1285021_+
2329 scaffold_15 1337530 1337534 + No_gene NA NA 5 NA 1089 -0.104606150069146 scaffold_15_1337530_1337534_+
2331 scaffold_15 1362113 1362122 + No_gene NA NA 10 NA 10211 0.250282527946121 scaffold_15_1362113_1362122_+
2332 scaffold_15 1363235 1363252 + No_gene NA NA 18 NA 1779 -0.860837305849612 scaffold_15_1363235_1363252_+
2333 scaffold_15 1363275 1363286 + No_gene NA NA 12 NA 3038 -2.07506188835873 scaffold_15_1363275_1363286_+
2336 scaffold_15 1429816 1429845 + No_gene NA NA 30 NA 5479 -2.28659116051444 scaffold_15_1429816_1429845_+
2340 scaffold_15 1474300 1474317 + No_gene NA NA 18 NA 2666 -0.673665574144504 scaffold_15_1474300_1474317_+
2343 scaffold_15 1577346 1577370 + No_gene NA NA 25 NA 3488 -2.65661763694311 scaffold_15_1577346_1577370_+
2344 scaffold_15 1647223 1647224 + No_gene NA NA 2 NA 567 1.14623655239361 scaffold_15_1647223_1647224_+
2349 scaffold_15 89717 89739 - No_gene NA NA 23 NA 5074 -2.38846590897974 scaffold_15_89717_89739_-
2350 scaffold_15 99624 99631 - No_gene NA NA 8 NA 13576 0.838427743233934 scaffold_15_99624_99631_-
2359 scaffold_15 107315 107324 - No_gene NA NA 10 NA 27164 1.14747603432355 scaffold_15_107315_107324_-
2360 scaffold_15 107398 107399 - No_gene NA NA 2 NA 184 0.742050393701784 scaffold_15_107398_107399_-
2363 scaffold_15 240794 240795 - No_gene NA NA 2 NA 1344 -1.7339011872885 scaffold_15_240794_240795_-
2371 scaffold_15 281484 281490 - No_gene NA NA 7 NA 4562 0.0621984705643142 scaffold_15_281484_281490_-
2372 scaffold_15 285410 285411 - No_gene NA NA 2 NA 494 -1.24705890687914 scaffold_15_285410_285411_-
2373 scaffold_15 285474 285480 - No_gene NA NA 7 NA 3735 -2.24167517105255 scaffold_15_285474_285480_-
2374 scaffold_15 285501 285520 - No_gene NA NA 20 NA 1343 -2.16196654068875 scaffold_15_285501_285520_-
2378 scaffold_15 511571 511572 - No_gene NA NA 2 NA 712 0.27914325343861 scaffold_15_511571_511572_-
2379 scaffold_15 517580 517582 - No_gene NA NA 3 NA 2929 0.571272154510428 scaffold_15_517580_517582_-
2380 scaffold_15 521894 521942 - No_gene NA NA 49 NA 2773 -2.40414819280773 scaffold_15_521894_521942_-
2381 scaffold_15 621225 621229 - No_gene NA NA 5 NA 2249 0.0478203859439321 scaffold_15_621225_621229_-
2385 scaffold_15 685189 685192 - No_gene NA NA 4 NA 688 -0.399260532142415 scaffold_15_685189_685192_-
2389 scaffold_15 796097 796101 - No_gene NA NA 5 NA 1660 -1.4119454584702 scaffold_15_796097_796101_-
2390 scaffold_15 796339 796340 - No_gene NA NA 2 NA 976 -0.685511348530906 scaffold_15_796339_796340_-
2391 scaffold_15 796477 796484 - No_gene NA NA 8 NA 1537 -1.78818790290259 scaffold_15_796477_796484_-
2394 scaffold_15 841363 841364 - No_gene NA NA 2 NA 575 0.21026865382595 scaffold_15_841363_841364_-
2396 scaffold_15 1008900 1008901 - No_gene NA NA 2 NA 1517 1.31398288053671 scaffold_15_1008900_1008901_-
2403 scaffold_15 1127839 1127840 - No_gene NA NA 2 NA 981 0.428684890524373 scaffold_15_1127839_1127840_-
2404 scaffold_15 1127997 1128007 - No_gene NA NA 11 NA 1428 -0.761069852806642 scaffold_15_1127997_1128007_-
2405 scaffold_15 1179467 1179470 - No_gene NA NA 4 NA 6805 0.188999940294054 scaffold_15_1179467_1179470_-
2410 scaffold_15 1205507 1205508 - No_gene NA NA 2 NA 507 1.00995362935437 scaffold_15_1205507_1205508_-
2411 scaffold_15 1214624 1214625 - No_gene NA NA 2 NA 2480 1.28667542061158 scaffold_15_1214624_1214625_-
2412 scaffold_15 1226550 1226551 - No_gene NA NA 2 NA 1943 -0.0381412146556062 scaffold_15_1226550_1226551_-
2413 scaffold_15 1250363 1250364 - No_gene NA NA 2 NA 747 0.654008721284482 scaffold_15_1250363_1250364_-
2421 scaffold_15 1404391 1404409 - No_gene NA NA 19 NA 2318 -0.783750225479146 scaffold_15_1404391_1404409_-
2423 scaffold_15 1420593 1420594 - No_gene NA NA 2 NA 596 0.531485151218164 scaffold_15_1420593_1420594_-
