JGI_V11_221545	FBgn0036812	Nufip
JGI_V11_221979	FBgn0000370	crc
JGI_V11_305755	FBgn0030306	Spase25
JGI_V11_305208	FBgn0030468	CG1622
JGI_V11_49574	FBgn0033548	CG7637
JGI_V11_313769	FBgn0036340	SRm160
JGI_V11_306954	FBgn0033961	ND-B15
JGI_V11_42801	FBgn0033897	Rcd1
JGI_V11_265583	FBgn0038118	timeout
JGI_V11_128134	FBgn0052066	CG32066
JGI_V11_213420	FBgn0016031	lama
JGI_V11_313422	FBgn0027864	Ogg1
JGI_V11_58066	FBgn0053230	CG33230
JGI_V11_304879	FBgn0029937	CG8300
JGI_V11_304874	FBgn0050085	Rif1
JGI_V11_327230	FBgn0033869	Cpr50Cb
JGI_V11_112943	FBgn0051998	CG31998
JGI_V11_127519	FBgn0035964	Dhpr
JGI_V11_312382	FBgn0029664	CG10802
JGI_V11_232187	FBgn0035010	CG13579
JGI_V11_237043	FBgn0016976	stnA
JGI_V11_217150	FBgn0026873	MED18
JGI_V11_303695	FBgn0263025	CG43320
JGI_V11_44253	FBgn0013467	igl
JGI_V11_300804	FBgn0031537	
JGI_V11_255533	FBgn0033869	Cpr50Cb
JGI_V11_225464	FBgn0030991	CG7453
JGI_V11_196799	FBgn0030512	CG9940
JGI_V11_323991	FBgn0031194	CG17598
JGI_V11_204739	FBgn0039273	CG9996
JGI_V11_1144	FBgn0261279	lqfR
JGI_V11_23511	FBgn0032506	CG9395
JGI_V11_306329	FBgn0004698	Xpc
JGI_V11_196422	FBgn0261479	nero
JGI_V11_306325	FBgn0039407	CG14544
JGI_V11_306322	FBgn0001099	gdl
JGI_V11_194495	FBgn0034521	Mgat1
JGI_V11_194499	FBgn0053139	Ranbp11
JGI_V11_233341	FBgn0039690	CG1969
JGI_V11_29116	FBgn0013684	mt:ND5
JGI_V11_205604	FBgn0030788	Sap30
JGI_V11_326002	FBgn0004650	fs(1)N
JGI_V11_300974	FBgn0032305	CG6700
JGI_V11_8025	FBgn0005624	Psc
JGI_V11_224227	FBgn0042132	CG18809
JGI_V11_305987	FBgn0061515	endos
JGI_V11_126671	FBgn0036237	viaf
JGI_V11_303014	FBgn0033902	Tango7
JGI_V11_305989	FBgn0031538	CG3246
JGI_V11_302134	FBgn0033615	CG7741
JGI_V11_308736	FBgn0030806	CG13001
JGI_V11_65078	FBgn0265598	Bx
JGI_V11_303011	FBgn0028292	ric8a
JGI_V11_103963	FBgn0052647	CG32647
JGI_V11_103962	FBgn0036236	CG6931
JGI_V11_52801	FBgn0259822	Ca-beta
JGI_V11_118891	FBgn0027509	TBCD
JGI_V11_309057	FBgn0003861	trp
JGI_V11_300292	FBgn0033085	CG15908
JGI_V11_307053	FBgn0037878	CG6693
JGI_V11_299991	FBgn0027505	Rab3-GAP
JGI_V11_299992	FBgn0037073	Tsr1
JGI_V11_299998	FBgn0032217	CG4972
JGI_V11_311954	FBgn0000448	Hr46
JGI_V11_65213	FBgn0039150	CG13605
JGI_V11_311952	FBgn0037757	CG8516
JGI_V11_307585	FBgn0037843	CG4511
JGI_V11_334740	FBgn0024689	fws
JGI_V11_201415	FBgn0260464	CG9288
JGI_V11_327755	FBgn0037280	CG1126
JGI_V11_299963	FBgn0037898	CG18643
JGI_V11_94311	FBgn0017414	cag
JGI_V11_98114	FBgn0261859	CG42788
JGI_V11_191515	FBgn0025629	CG4045
JGI_V11_305566	FBgn0032987	RpL21
JGI_V11_305562	FBgn0022344	CG10340
JGI_V11_302199	FBgn0038808	Srp14
JGI_V11_305569	FBgn0033402	Myd88
JGI_V11_331378	FBgn0035025	uri
JGI_V11_205240	FBgn0262511	Vha44
JGI_V11_46663	FBgn0264339	CG43795
JGI_V11_303599	FBgn0015664	Dref
JGI_V11_45860	FBgn0038876	CG5919
JGI_V11_303591	FBgn0026753	Vha13
JGI_V11_314726	FBgn0033352	PAN2
JGI_V11_191157	FBgn0035909	ergic53
JGI_V11_299958	FBgn0261955	kdn
JGI_V11_304806	FBgn0037135	CG7414
JGI_V11_304804	FBgn0028408	Drep2
JGI_V11_195317	FBgn0265988	mv
JGI_V11_42148	FBgn0013764	Chi
JGI_V11_190794	FBgn0034975	enok
JGI_V11_196656	FBgn0030738	CG9915
JGI_V11_306113	FBgn0036887	CG9231
JGI_V11_54121	FBgn0030013	GIIIspla2
JGI_V11_62792	FBgn0259735	CG42389
JGI_V11_71996	FBgn0036059	nudE
JGI_V11_307872	FBgn0027607	CG8230
JGI_V11_189944	FBgn0032465	CG12404
JGI_V11_322458	FBgn0050259	CG30259
JGI_V11_316474	FBgn0262624	Tmhs
JGI_V11_322497	FBgn0003068	per
JGI_V11_310736	FBgn0036446	CG9384
JGI_V11_302344	FBgn0003074	Pgi
JGI_V11_302349	FBgn0038016	MBD-R2
JGI_V11_313180	FBgn0000108	Appl
JGI_V11_8703	FBgn0004101	bs
JGI_V11_13857	FBgn0028974	xmas-2
JGI_V11_228663	FBgn0035336	CG9004
JGI_V11_230667	FBgn0039757	RpS7
JGI_V11_207481	FBgn0031494	CG17219
JGI_V11_332423	FBgn0015907	
JGI_V11_111787	FBgn0033869	Cpr50Cb
JGI_V11_217428	FBgn0015582	dare
JGI_V11_102626	FBgn0035965	Use1
JGI_V11_308067	FBgn0031601	Dim1
JGI_V11_256930	FBgn0039816	CG11317
JGI_V11_311020	FBgn0035916	GAPsec
JGI_V11_319648	FBgn0000546	EcR
JGI_V11_318296	FBgn0030034	CG10555
JGI_V11_301058	FBgn0032214	CG4968
JGI_V11_304577	FBgn0035590	Prpk
JGI_V11_311126	FBgn0035285	CG12025
JGI_V11_311127	FBgn0032170	CG4658
JGI_V11_198965	FBgn0036763	CG7441
JGI_V11_318590	FBgn0261858	CG42787
JGI_V11_231133	FBgn0004363	porin
JGI_V11_200975	FBgn0022764	Sin3A
JGI_V11_92757	FBgn0032101	CG9586
JGI_V11_327095	FBgn0031255	BBS8
JGI_V11_56446	FBgn0086655	jing
JGI_V11_61802	FBgn0034271	CG4996
JGI_V11_41236	FBgn0086693	iav
JGI_V11_230987	FBgn0038672	CG6005
JGI_V11_230984	FBgn0037199	CG11137
JGI_V11_51838	FBgn0265598	Bx
JGI_V11_51833	FBgn0265487	mbl
JGI_V11_231058	FBgn0052536	CG32536
JGI_V11_307649	FBgn0032916	CG9257
JGI_V11_104748	FBgn0033654	Sobp
JGI_V11_62646	FBgn0031996	CG8460
JGI_V11_310318	FBgn0036008	CG3408
JGI_V11_308938	FBgn0035838	ldbr
JGI_V11_65535	FBgn0037443	Dmtn
JGI_V11_302506	FBgn0033060	CG7849
JGI_V11_45411	FBgn0003255	rk
JGI_V11_310291	FBgn0030320	CG2247
JGI_V11_309080	FBgn0033540	Elp2
JGI_V11_309082	FBgn0024238	Fim
JGI_V11_309084	FBgn0000139	ash2
JGI_V11_305539	FBgn0014877	Roe1
JGI_V11_190307	FBgn0052486	
JGI_V11_46504	FBgn0041706	CG3253
JGI_V11_93752	FBgn0000409	Cyt-c-p
JGI_V11_222754	FBgn0037672	sage
JGI_V11_332220	FBgn0052112	CG32112
JGI_V11_235934	FBgn0036990	mRpL15
JGI_V11_215373	FBgn0034572	CG9346
JGI_V11_48689	FBgn0035204	CG2277
JGI_V11_332164	FBgn0010772	Xe7
JGI_V11_305245	FBgn0032753	CG17572
JGI_V11_44231	FBgn0054039	CG34039
JGI_V11_313111	FBgn0004169	up
JGI_V11_300860	FBgn0038473	Ns1
JGI_V11_118976	FBgn0039858	CycG
JGI_V11_305718	FBgn0038649	CG7718
JGI_V11_33887	FBgn0263831	Gen
JGI_V11_303363	FBgn0034430	mip40
JGI_V11_303361	FBgn0035592	CG10674
JGI_V11_306074	FBgn0030346	CG11802
JGI_V11_301888	FBgn0029888	ND-ASHI
JGI_V11_325677	FBgn0015546	spel1
JGI_V11_309445	FBgn0043001	Chrac-16
JGI_V11_299673	FBgn0013765	cnn
JGI_V11_260724	FBgn0051342	CG31342
JGI_V11_304272	FBgn0033554	Lsm10
JGI_V11_238840	FBgn0032728	Tango6
JGI_V11_222984	FBgn0000228	Bsg25D
JGI_V11_198542	FBgn0025885	Inos
JGI_V11_304277	FBgn0038196	CG9922
JGI_V11_99656	FBgn0003475	spir
JGI_V11_50463	FBgn0259722	CG42376
JGI_V11_50461	FBgn0036004	Jarid2
JGI_V11_204269	FBgn0034086	CG8441
JGI_V11_303819	FBgn0017572	Mo25
JGI_V11_326182	FBgn0004882	orb
JGI_V11_111574	FBgn0036918	CG7770
JGI_V11_61794	FBgn0015288	RpL22
JGI_V11_216924	FBgn0038948	PSR
JGI_V11_307072	FBgn0031099	CG17065
JGI_V11_105183	FBgn0058196	
JGI_V11_240818	FBgn0017558	Pdk
JGI_V11_23392	FBgn0033609	Fbl6
JGI_V11_191361	FBgn0015379	dod
JGI_V11_314992	FBgn0035741	BBS1
JGI_V11_213242	FBgn0000578	ena
JGI_V11_204587	FBgn0031710	Vps52
JGI_V11_318081	FBgn0261111	BHD
JGI_V11_327734	FBgn0261530	nbs
JGI_V11_267532	FBgn0034229	CG4847
JGI_V11_267531	FBgn0034229	CG4847
JGI_V11_301131	FBgn0261112	APP-BP1
JGI_V11_55304	FBgn0033316	CG14749
JGI_V11_16039	FBgn0053193	sav
JGI_V11_256898	FBgn0038583	CG7183
JGI_V11_222567	FBgn0037933	Ho
JGI_V11_303256	FBgn0036031	CG6761
JGI_V11_306694	FBgn0053198	pen-2
JGI_V11_98427	FBgn0035047	Pof
JGI_V11_130202	FBgn0026199	myo
JGI_V11_314370	FBgn0085399	CG34370
JGI_V11_314379	FBgn0044452	Atg2
JGI_V11_230511	FBgn0261592	RpS6
JGI_V11_260966	FBgn0027279	l(1)G0196
JGI_V11_303950	FBgn0036909	CG15881
JGI_V11_305506	FBgn0020305	dbe
JGI_V11_306709	FBgn0262560	wcd
JGI_V11_64017	FBgn0264491	how
JGI_V11_309148	FBgn0010282	TfIIFalpha
JGI_V11_306850	FBgn0029997	CG2258
JGI_V11_328193	FBgn0033429	CG12929
JGI_V11_42306	FBgn0031100	CG1504
JGI_V11_323145	FBgn0019938	RpI1
JGI_V11_299753	FBgn0039559	Mes-4
JGI_V11_323149	FBgn0033973	HPS1
JGI_V11_204027	FBgn0035145	MED14
JGI_V11_314749	FBgn0086367	t
JGI_V11_39815	FBgn0021856	l(2)k14505
JGI_V11_248017	FBgn0026592	Fie
JGI_V11_102355	FBgn0028406	Drep4
JGI_V11_102354	FBgn0033766	CG8771
JGI_V11_63242	FBgn0004878	cas
JGI_V11_187913	FBgn0031497	CG17259
JGI_V11_93183	FBgn0038834	RpS30
JGI_V11_302775	FBgn0039555	mRpS22
JGI_V11_223773	FBgn0031044	MKP-4
JGI_V11_307817	FBgn0015270	Orc2
JGI_V11_322434	FBgn0032886	CG9328
JGI_V11_112486	FBgn0034763	RYBP
JGI_V11_302367	FBgn0042185	CG18769
JGI_V11_302363	FBgn0014024	Rnp4F
JGI_V11_45963	FBgn0030786	mRpL22
JGI_V11_66944	FBgn0011277	HLH4C
JGI_V11_114887	FBgn0260987	vtd
JGI_V11_190968	FBgn0262125	Sec23
JGI_V11_300631	FBgn0036111	Aps
JGI_V11_299638	FBgn0010300	brat
JGI_V11_205866	FBgn0031021	ND-18
JGI_V11_103759	FBgn0035020	CG13585
JGI_V11_301948	FBgn0259978	vlc
JGI_V11_302941	FBgn0036286	CG10616
JGI_V11_130439	FBgn0259749	mmy
JGI_V11_188721	FBgn0029121	Sras
JGI_V11_188723	FBgn0086359	Invadolysin
JGI_V11_244987	FBgn0042696	NfI
JGI_V11_308734	FBgn0031312	Tango14
JGI_V11_100635	FBgn0259108	futsch
JGI_V11_7769	FBgn0032652	CG6870
JGI_V11_115843	FBgn0263400	CG43446
JGI_V11_200913	FBgn0030096	Zpr1
JGI_V11_304927	FBgn0264089	sli
JGI_V11_231158	FBgn0051460	CG31460
JGI_V11_326636	FBgn0263400	CG43446
JGI_V11_44538	FBgn0026577	CG8677
JGI_V11_220504	FBgn0029687	Vap-33A
JGI_V11_220648	FBgn0028970	betaggt-II
JGI_V11_96672	FBgn0037020	Pex14
JGI_V11_220502	FBgn0035851	MED24
JGI_V11_231033	FBgn0025366	Ip259
JGI_V11_187802	FBgn0030969	Usp39
JGI_V11_43798	FBgn0026374	Rhp
JGI_V11_205698	FBgn0011509	SrpRbeta
JGI_V11_2528	FBgn0000244	by
JGI_V11_201206	FBgn0010278	Ssrp
JGI_V11_43172	FBgn0037110	ORMDL
JGI_V11_323605	FBgn0030506	Lig4
JGI_V11_246765	FBgn0004875	enc
JGI_V11_48661	FBgn0002931	net
JGI_V11_44746	FBgn0037703	JHDM2
JGI_V11_202511	FBgn0023441	fus
JGI_V11_112010	FBgn0037760	FBXO11
JGI_V11_300846	FBgn0044328	CG32052
JGI_V11_303886	FBgn0038755	Hs6st
JGI_V11_303887	FBgn0053217	CG33217
JGI_V11_300844	FBgn0261108	Atg13
JGI_V11_129179	FBgn0032216	Usp14
JGI_V11_314559	FBgn0026372	RpL23A
JGI_V11_40918	FBgn0032798	CG10132
JGI_V11_308647	FBgn0039650	Mesh1
JGI_V11_303120	FBgn0040336	Seipin
JGI_V11_305637	FBgn0039451	CG6420
JGI_V11_326386	FBgn0053180	Ranbp16
JGI_V11_257590	FBgn0024196	robl
JGI_V11_257591	FBgn0031313	CG5080
JGI_V11_107122	FBgn0259173	corn
JGI_V11_194985	FBgn0023216	Parg
JGI_V11_57916	FBgn0265174	PIG-V
JGI_V11_312251	FBgn0038870	Oga
JGI_V11_188557	FBgn0036059	nudE
JGI_V11_306461	FBgn0013432	bcn92
JGI_V11_209751	FBgn0023508	Ocrl
JGI_V11_230142	FBgn0003141	pr
JGI_V11_322014	FBgn0031904	CG5149
JGI_V11_239152	FBgn0035168	cep290
JGI_V11_306492	FBgn0032138	CG4364
JGI_V11_109061	FBgn0004924	Top1
JGI_V11_309382	FBgn0014411	Vps26
JGI_V11_309387	FBgn0038303	SIDL
JGI_V11_64785	FBgn0036614	CG4925
JGI_V11_221700	FBgn0037301	Mms19
JGI_V11_230537	FBgn0044030	mRpS14
JGI_V11_304382	FBgn0039227	polybromo
JGI_V11_195553	FBgn0029882	CG3226
JGI_V11_110244	FBgn0032870	CG2608
JGI_V11_304431	FBgn0035830	CG8209
JGI_V11_300540	FBgn0019936	RpS20
JGI_V11_308561	FBgn0051155	Rpb7
JGI_V11_214814	FBgn0001087	g
JGI_V11_308566	FBgn0041781	SCAR
JGI_V11_305525	FBgn0035249	CG17249
JGI_V11_305524	FBgn0015000	betaggt-I
JGI_V11_306878	FBgn0039348	Npl4
JGI_V11_306879	FBgn0034310	Nup75
JGI_V11_309169	FBgn0039234	nct
JGI_V11_215632	FBgn0086370	sra
JGI_V11_309163	FBgn0033876	Syngr
JGI_V11_306877	FBgn0010762	simj
JGI_V11_304658	FBgn0032197	CG5694
JGI_V11_191776	FBgn0027503	CG11970
JGI_V11_316815	FBgn0026239	gukh
JGI_V11_300090	FBgn0035526	CG1316
JGI_V11_42368	FBgn0038332	CG6136
JGI_V11_28469	FBgn0263112	Mitf
JGI_V11_223635	FBgn0037778	mtTFB2
JGI_V11_305386	FBgn0032729	CG10639
JGI_V11_305381	FBgn0033191	CG1598
JGI_V11_230321	FBgn0010408	RpS9
JGI_V11_30662	FBgn0034491	Hsl
JGI_V11_24132	FBgn0086695	hd
JGI_V11_223758	FBgn0010328	woc
JGI_V11_333409	FBgn0030092	fh
JGI_V11_55751	FBgn0019624	COX5A
JGI_V11_202891	FBgn0042135	CG18812
JGI_V11_307386	FBgn0030996	CG14194
JGI_V11_307389	FBgn0030323	CG2371
JGI_V11_307388	FBgn0013746	alien
JGI_V11_27417	FBgn0011656	Mef2
JGI_V11_190647	FBgn0028700	RfC38
JGI_V11_236890	FBgn0011769	Fdx1
JGI_V11_312005	FBgn0029067	Dd
JGI_V11_40279	FBgn0086447	l(2)37Cg
JGI_V11_236610	FBgn0033869	Cpr50Cb
JGI_V11_303443	FBgn0032746	CG10470
JGI_V11_115048	FBgn0038833	CG15696
JGI_V11_299549	FBgn0000413	
JGI_V11_340856	FBgn0033869	Cpr50Cb
JGI_V11_299540	FBgn0032378	CycY
JGI_V11_299544	FBgn0027948	msps
JGI_V11_193044	FBgn0022936	CycH
JGI_V11_301966	FBgn0262740	Evi5
JGI_V11_301961	FBgn0039385	CG5913
JGI_V11_301960	FBgn0031488	CG17265
JGI_V11_317080	FBgn0034495	CG11788
JGI_V11_311062	FBgn0014870	Psi
JGI_V11_308710	FBgn0037241	CG14646
JGI_V11_254414	FBgn0264962	Pcf11
JGI_V11_110747	FBgn0001316	klar
JGI_V11_31031	FBgn0031662	CG3792
JGI_V11_95385	FBgn0022361	Pur-alpha
JGI_V11_328924	FBgn0034030	CG8192
JGI_V11_40660	FBgn0085434	NaCP60E
JGI_V11_304315	FBgn0011570	cpb
JGI_V11_221069	FBgn0028572	qtc
JGI_V11_61523	FBgn0042641	frc
JGI_V11_326379	FBgn0264272	mwh
JGI_V11_313838	FBgn0037660	beag
JGI_V11_313834	FBgn0010416	TH1
JGI_V11_214153	FBgn0033784	CG13322
JGI_V11_313833	FBgn0265184	CG44249
JGI_V11_313831	FBgn0036819	Dysb
JGI_V11_307604	FBgn0031313	CG5080
JGI_V11_310334	FBgn0052220	Csas
JGI_V11_307601	FBgn0260390	CG42516
JGI_V11_234781	FBgn0031003	CG7889
JGI_V11_43800	FBgn0001263	inaD
JGI_V11_312785	FBgn0037998	CG4848
JGI_V11_186925	FBgn0039020	CG17141
JGI_V11_305260	FBgn0064126	CG33722
JGI_V11_41856	FBgn0025394	inc
JGI_V11_93444	FBgn0062442	Cisd2
JGI_V11_313021	FBgn0026373	RpII33
JGI_V11_329141	FBgn0025639	Hmt4-20
JGI_V11_329147	FBgn0036063	CG6674
JGI_V11_327533	FBgn0033935	Sin1
JGI_V11_230517	FBgn0031436	ND-B17.2
JGI_V11_104788	FBgn0023172	RhoGEF2
JGI_V11_340689	FBgn0004395	unk
JGI_V11_309623	FBgn0033354	FANCI
JGI_V11_317361	FBgn0040294	POSH
JGI_V11_46890	FBgn0039339	CG5116
JGI_V11_41046	FBgn0031905	gudu
JGI_V11_316553	FBgn0035624	Eaf6
JGI_V11_301770	FBgn0036698	CG7724
JGI_V11_129111	FBgn0037611	CG11755
JGI_V11_59752	FBgn0034282	Mapmodulin
JGI_V11_18516	FBgn0035625	Blimp-1
JGI_V11_109433	FBgn0027053	CSN5
JGI_V11_238808	FBgn0037540	Pbp95
JGI_V11_311079	FBgn0000109	Aprt
JGI_V11_255226	FBgn0019637	Atu
JGI_V11_308709	FBgn0010926	l(3)07882
JGI_V11_231783	FBgn0030559	CG13404
JGI_V11_44942	FBgn0039862	kek6
JGI_V11_322524	FBgn0085468	ND-MWFE
JGI_V11_322382	FBgn0038492	Mur89F
JGI_V11_312277	FBgn0015591	AstA
JGI_V11_109235	FBgn0001180	hb
JGI_V11_31197	FBgn0026179	siz
JGI_V11_307032	FBgn0001977	CIAPIN1
JGI_V11_230163	FBgn0038545	CG7713
JGI_V11_322360	FBgn0035762	Rint1
JGI_V11_324908	FBgn0053082	CG33082
JGI_V11_207300	FBgn0033638	CG9005
JGI_V11_221497	FBgn0037543	CG10903
JGI_V11_299950	FBgn0030870	CG6398
JGI_V11_100422	FBgn0033869	Cpr50Cb
JGI_V11_302396	FBgn0035981	CG4452
JGI_V11_309362	FBgn0030026	sni
JGI_V11_301178	FBgn0025109	Bem46
JGI_V11_301174	FBgn0033869	Cpr50Cb
JGI_V11_304415	FBgn0035754	MED4
JGI_V11_253313	FBgn0035921	CG13305
JGI_V11_228144	FBgn0004655	wapl
JGI_V11_23970	FBgn0032348	CG4751
JGI_V11_214831	FBgn0034674	CG9304
JGI_V11_308504	FBgn0264307	orb2
JGI_V11_323362	FBgn0036804	Sgf11
JGI_V11_304678	FBgn0037489	CG1234
JGI_V11_311311	FBgn0026787	Nhe1
JGI_V11_52314	FBgn0063368	Gpb5
JGI_V11_326467	FBgn0023545	CG4406
JGI_V11_63758	FBgn0261787	bru
JGI_V11_335902	FBgn0262617	CG43143
JGI_V11_313644	FBgn0035508	CG15005
JGI_V11_306814	FBgn0030655	CG9213
JGI_V11_231518	FBgn0036825	RpL26
JGI_V11_254540	FBgn0263400	CG43446
JGI_V11_329285	FBgn0019938	RpI1
JGI_V11_49701	FBgn0034091	mrj
JGI_V11_324341	FBgn0040268	Top3alpha
JGI_V11_327337	FBgn0033960	CG10151
JGI_V11_2754	FBgn0263397	Ih
JGI_V11_199709	FBgn0037610	CG8043
JGI_V11_315524	FBgn0020294	ko
JGI_V11_44539	FBgn0036414	nan
JGI_V11_102312	FBgn0037624	CG8223
JGI_V11_237695	FBgn0033033	scaf
JGI_V11_230313	FBgn0039296	CG10420
JGI_V11_221078	FBgn0011259	Sema-1a
JGI_V11_54066	FBgn0014023	mRpL47
JGI_V11_303462	FBgn0030457	CG12096
JGI_V11_303463	FBgn0032397	Tom70
JGI_V11_306107	FBgn0086683	Spf45
JGI_V11_317581	FBgn0036505	CG7945
JGI_V11_40075	FBgn0038923	mRpL35
JGI_V11_23821	FBgn0032513	CG6565
JGI_V11_188104	FBgn0086694	Bre1
JGI_V11_188107	FBgn0038206	twf
JGI_V11_106542	FBgn0036377	CG10710
JGI_V11_306244	FBgn0003382	sha
JGI_V11_41708	FBgn0030412	Tomosyn
JGI_V11_326268	FBgn0001965	Sos
JGI_V11_332484	FBgn0051935	CG31935
JGI_V11_206352	FBgn0028402	Sin
JGI_V11_308779	FBgn0030063	CG1789
JGI_V11_48825	FBgn0033988	pcs
JGI_V11_59258	FBgn0027359	Tim8
JGI_V11_206555	FBgn0086779	step
JGI_V11_59257	FBgn0033869	Cpr50Cb
JGI_V11_111417	FBgn0021944	Coprox
JGI_V11_231196	FBgn0033808	CG4627
JGI_V11_56427	FBgn0033075	Pld
JGI_V11_218866	FBgn0038057	CG12267
JGI_V11_215496	FBgn0039773	CG2224
JGI_V11_308197	FBgn0033998	row
JGI_V11_61546	FBgn0028434	Ercc1
JGI_V11_253785	FBgn0026086	Adar
JGI_V11_55885	FBgn0010247	Parp
JGI_V11_313811	FBgn0036556	CG5830
JGI_V11_309824	FBgn0086129	snama
JGI_V11_257316	FBgn0015664	Dref
JGI_V11_100082	FBgn0037012	Rcd2
JGI_V11_276769	FBgn0032796	CG10188
JGI_V11_201796	FBgn0034308	CG10915
JGI_V11_107367	FBgn0039411	dysf
JGI_V11_308995	FBgn0030658	CG7872
JGI_V11_304699	FBgn0036462	mRpL39
JGI_V11_310235	FBgn0036773	CG13698
JGI_V11_310234	FBgn0001084	fy
JGI_V11_94253	FBgn0035102	CG7049
JGI_V11_43139	FBgn0023522	CG11596
JGI_V11_299824	FBgn0035640	mad2
JGI_V11_302853	FBgn0011224	heph
JGI_V11_97505	FBgn0000439	Dfd
JGI_V11_196840	FBgn0037262	MED31
JGI_V11_332246	FBgn0035533	Cip4
JGI_V11_61639	FBgn0261983	l(2)gd1
JGI_V11_186887	FBgn0046704	Liprin-alpha
JGI_V11_301345	FBgn0025820	JTBR
JGI_V11_42083	FBgn0024944	Oamb
JGI_V11_316993	FBgn0259212	cno
JGI_V11_300356	FBgn0051216	Naam
JGI_V11_128200	FBgn0261722	fwe
JGI_V11_316998	FBgn0035287	CG13937
JGI_V11_308960	FBgn0051641	
JGI_V11_302577	FBgn0265101	Sgt1
JGI_V11_299820	FBgn0041174	Vhl
JGI_V11_200043	FBgn0028343	Ankle2
JGI_V11_42881	FBgn0053653	Cadps
JGI_V11_59731	FBgn0259481	Mob2
JGI_V11_301758	FBgn0034503	MED8
JGI_V11_309160	FBgn0029525	CG18273
JGI_V11_325779	FBgn0038400	CG5903
JGI_V11_58280	FBgn0027359	Tim8
JGI_V11_11849	FBgn0032717	CG10600
JGI_V11_15160	FBgn0260660	Mp
JGI_V11_7110	FBgn0050105	CG30105
JGI_V11_304651	FBgn0038552	CG18012
JGI_V11_49933	FBgn0036546	elgi
JGI_V11_309203	FBgn0035865	CG7201
JGI_V11_316816	FBgn0026239	gukh
JGI_V11_238437	FBgn0039858	CycG
JGI_V11_302221	FBgn0010750	atms
JGI_V11_305903	FBgn0029892	CG3184
JGI_V11_306682	FBgn0028540	CG9008
JGI_V11_209797	FBgn0039160	CG5510
JGI_V11_306423	FBgn0036813	Atg3
JGI_V11_238750	FBgn0033624	CG12384
JGI_V11_300994	FBgn0027493	AdSS
JGI_V11_208840	FBgn0036580	PDCD-5
JGI_V11_5569	FBgn0033019	CG10395
JGI_V11_197141	FBgn0262517	Ltn1
JGI_V11_299917	FBgn0064225	RpL5
JGI_V11_299912	FBgn0035601	Uev1A
JGI_V11_309932	FBgn0027550	CG6495
JGI_V11_311546	FBgn0031356	CG17660
JGI_V11_228160	FBgn0086362	spn-F
JGI_V11_201492	FBgn0040475	SH3PX1
JGI_V11_308348	FBgn0033869	Cpr50Cb
JGI_V11_308699	FBgn0004108	Nrt
JGI_V11_225024	FBgn0261552	ps
JGI_V11_61045	FBgn0035294	Mfap1
JGI_V11_304474	FBgn0010280	Taf4
JGI_V11_215987	FBgn0035402	Usp5
JGI_V11_301118	FBgn0034982	CG4065
JGI_V11_105793	FBgn0038601	CG18600
JGI_V11_306763	FBgn0030433	mRpL49
JGI_V11_308529	FBgn0031536	Cog3
JGI_V11_304696	FBgn0039664	CG2006
JGI_V11_304694	FBgn0086686	l(3)L1231
JGI_V11_304691	FBgn0033177	CG11141
JGI_V11_117104	FBgn0034186	CG8950
JGI_V11_311334	FBgn0011660	Pms2
JGI_V11_207426	FBgn0261276	Opa1
JGI_V11_323127	FBgn0027791	O-fut2
JGI_V11_312603	FBgn0037051	CG10565
JGI_V11_334148	FBgn0004407	DNApol-gamma35
JGI_V11_95443	FBgn0038111	
JGI_V11_308832	FBgn0086357	Sec61alpha
JGI_V11_68580	FBgn0031455	Snapin
JGI_V11_308831	FBgn0039849	CG11334
JGI_V11_52191	FBgn0024811	Crk
JGI_V11_52198	FBgn0001995	mRpL4
JGI_V11_326156	FBgn0039710	dgt1
JGI_V11_306834	FBgn0005638	slbo
JGI_V11_221851	FBgn0037609	CG9773
JGI_V11_199098	FBgn0039280	Mocs2
JGI_V11_121053	FBgn0000182	BicC
JGI_V11_22947	FBgn0034704	CG6758
JGI_V11_190063	FBgn0030101	CG12118
JGI_V11_4586	FBgn0020294	ko
JGI_V11_190601	FBgn0000567	Eip74EF
JGI_V11_222106	FBgn0034987	
JGI_V11_53938	FBgn0051721	Trim9
JGI_V11_237863	FBgn0002924	ncd
JGI_V11_230373	FBgn0025700	CG5885
JGI_V11_303408	FBgn0050481	mRpL53
JGI_V11_303404	FBgn0036822	NijB
JGI_V11_304998	FBgn0036514	CG12301
JGI_V11_304991	FBgn0051229	CG31229
JGI_V11_325455	FBgn0035889	mkg-p
JGI_V11_304992	FBgn0036696	CG14057
JGI_V11_300690	FBgn0002593	RpLP1
JGI_V11_300697	FBgn0030320	CG2247
JGI_V11_306247	FBgn0039923	MED26
JGI_V11_300699	FBgn0028695	Rpn1
JGI_V11_217355	FBgn0035370	Non2
JGI_V11_230745	FBgn0017578	Max
JGI_V11_316218	FBgn0051482	CG31482
JGI_V11_301922	FBgn0013997	Nrx-IV
JGI_V11_301925	FBgn0038058	CG5608
JGI_V11_306574	FBgn0031961	CG7102
JGI_V11_214023	FBgn0030099	CG12056
JGI_V11_1338	FBgn0020407	asun
JGI_V11_51722	FBgn0004396	CrebA
JGI_V11_303073	FBgn0015338	CG5861
JGI_V11_303071	FBgn0017545	RpS3A
JGI_V11_303074	FBgn0038675	CG6013
JGI_V11_267292	FBgn0037624	CG8223
JGI_V11_221249	FBgn0027503	CG11970
JGI_V11_259349	FBgn0039293	CG11851
